index,Player,Club,Goals
147,Lisandro,FC Porto,13
148,Lisandro,Olympique Lyonnais,6
149,Luis Enrique,FC Barcelona,19
150,Ole Gunnar Solskjær,Manchester United FC,19
151,Willian,FC Shakhtar Donetsk,8
152,Willian,Chelsea FC,10
153,John Carew,Rosenborg BK,5
154,John Carew,Valencia CF,8
155,John Carew,Olympique Lyonnais,5
156,Andy Cole,Manchester United FC,18
157,Ronaldinho,FC Barcelona,14
158,Ronaldinho,AC Milan,4
159,Paulo Dybala,Juventus,18
160,Olivier Giroud,Arsenal FC,12
161,Olivier Giroud,Chelsea FC,6
162,Olivier Giroud,AC Milan,0
163,Lucho González,Olympique de Marseille,5
164,Lucho González,FC Porto,13
165,Juninho Pernambucano,Olympique Lyonnais,18
166,Franck Ribéry,FC Bayern München,18
167,Javier Saviola,FC Barcelona,11
168,Javier Saviola,AS Monaco FC,4
169,Javier Saviola,Málaga CF,1
170,Javier Saviola,Olympiacos FC,2
171,Riyad Mahrez,Leicester City FC,4
172,Riyad Mahrez,Manchester City FC,13
173,Heung-Min Son,Bayer 04 Leverkusen,3
174,Heung-Min Son,Tottenham Hotspur,14
175,Francesco Totti,AS Roma,17
176,Hulk,FC Porto,7
177,Hulk,FC Zenit,10
178,Michael Ballack,FC Bayern München,3
179,Michael Ballack,Chelsea FC,4
180,Michael Ballack,Bayer 04 Leverkusen,9
181,David Beckham,Manchester United FC,14
182,David Beckham,Real Madrid CF,2
183,Roberto Carlos,Real Madrid CF,16
184,Guti,Real Madrid CF,16
185,Dries Mertens,SSC Napoli,16
186,Gerard Piqué,Manchester United FC,2
187,Gerard Piqué,FC Barcelona,14
188,Pedro Rodríguez,FC Barcelona,15
189,Pedro Rodríguez,Chelsea FC,1
190,Leroy Sané,FC Schalke 04,1
191,Leroy Sané,Manchester City FC,6
192,Leroy Sané,FC Bayern München,9
193,Roberto Soldado,Real Madrid CF,1
194,Roberto Soldado,Valencia CF,15
195,Pierre-Emerick Aubameyang,Borussia Dortmund,15
196,Seydou Doumbia,PFC CSKA Moskva,13
197,Seydou Doumbia,FC Basel 1893,1
198,Seydou Doumbia,Sporting Clube de Portugal,1
199,Iván Helguera,Real Madrid CF,15
200,Simone Inzaghi,SS Lazio,15
201,Romelu Lukaku,Manchester United FC,7
202,Romelu Lukaku,FC Internazionale Milano,6
203,Romelu Lukaku,Chelsea FC,2
204,Pavel Nedvěd,SS Lazio,4
205,Pavel Nedvěd,Juventus,11
206,Sergio Ramos,Real Madrid CF,15
207,Diego Tristán,Real Club Deportivo La Coruña,15
208,Arturo Vidal,Juventus,9
209,Arturo Vidal,FC Bayern München,5
210,Arturo Vidal,FC Barcelona,0
211,Arturo Vidal,FC Internazionale Milano,1
212,Theo Walcott,Arsenal FC,15
213,Timo Werner,RB Leipzig,7
214,Timo Werner,Chelsea FC,8
215,Sylvain Wiltord,FC Girondins de Bordeaux,4
216,Sylvain Wiltord,Arsenal FC,3
217,Sylvain Wiltord,Olympique Lyonnais,8
218,Vincent Aboubakar,Beşiktaş JK,3
219,Vincent Aboubakar,FC Porto,11
220,Javier Hernández,Manchester United FC,7
221,Javier Hernández,Real Madrid CF,1
222,Javier Hernández,Bayer 04 Leverkusen,6
223,Klaas Jan Huntelaar,FC Schalke 04,13
224,Klaas Jan Huntelaar,AFC Ajax,1
225,Miroslav Klose,SV Werder Bremen,5
226,Miroslav Klose,FC Bayern München,9
227,Adriano,FC Internazionale Milano,14
228,Kostas Mitroglou,Olympiacos FC,11
229,Kostas Mitroglou,SL Benfica,3
230,Ronaldo,FC Internazionale Milano,1
231,Ronaldo,Real Madrid CF,13
232,Robert Pirès,Olympique de Marseille,2
233,Robert Pirès,Arsenal FC,11
